sample_idx,method,true_label_name,predicted_label_name,region,masked_fraction,attribution_mass,confidence_after_masking,confidence_drop,prediction_after_masking,prediction_changed
443,gradcam,sad,sad,eyes,0.130126953125,0.18091261386871338,0.6467551589012146,0.04550999402999878,2,0
443,gradcam,sad,sad,mouth,0.11328125,0.12662126123905182,0.705316960811615,-0.013051807880401611,2,0
443,gradcam,sad,sad,background,0.55126953125,0.36773496866226196,0.7547540068626404,-0.062488853931427,2,0
443,lime,sad,sad,eyes,0.130126953125,0.03466002270579338,0.6467551589012146,0.04550999402999878,2,0
443,lime,sad,sad,mouth,0.11328125,0.12318633496761322,0.705316960811615,-0.013051807880401611,2,0
443,lime,sad,sad,background,0.55126953125,0.4444131553173065,0.7547540068626404,-0.062488853931427,2,0
443,shap,sad,sad,eyes,0.130126953125,0.18143917620182037,0.6467551589012146,0.04550999402999878,2,0
443,shap,sad,sad,mouth,0.11328125,0.052918441593647,0.705316960811615,-0.013051807880401611,2,0
443,shap,sad,sad,background,0.55126953125,0.5681822896003723,0.7547540068626404,-0.062488853931427,2,0
461,gradcam,surprise,surprise,eyes,0.130126953125,0.19361643493175507,0.3949487805366516,-0.06245297193527222,3,0
461,gradcam,surprise,surprise,mouth,0.11328125,0.2242783159017563,0.10098979622125626,0.23150601238012314,0,1
461,gradcam,surprise,surprise,background,0.55126953125,0.26369544863700867,0.6167214512825012,-0.2842256426811218,3,0
461,lime,surprise,surprise,eyes,0.130126953125,0.27218174934387207,0.3949487805366516,-0.06245297193527222,3,0
461,lime,surprise,surprise,mouth,0.11328125,0.37692680954933167,0.10098979622125626,0.23150601238012314,0,1
461,lime,surprise,surprise,background,0.55126953125,0.16043969988822937,0.6167214512825012,-0.2842256426811218,3,0
461,shap,surprise,surprise,eyes,0.130126953125,0.08901772648096085,0.3949487805366516,-0.06245297193527222,3,0
461,shap,surprise,surprise,mouth,0.11328125,0.1511792242527008,0.10098979622125626,0.23150601238012314,0,1
461,shap,surprise,surprise,background,0.55126953125,0.5448651313781738,0.6167214512825012,-0.2842256426811218,3,0
482,gradcam,neutral,happy,eyes,0.130126953125,0.038261186331510544,0.9909630417823792,-0.023668885231018066,1,0
482,gradcam,neutral,happy,mouth,0.11328125,0.05020148679614067,0.39942243695259094,0.5678717195987701,0,1
482,gradcam,neutral,happy,background,0.55126953125,0.5752673149108887,0.9949274063110352,-0.027633249759674072,1,0
482,lime,neutral,happy,eyes,0.130126953125,0.034791797399520874,0.9909630417823792,-0.023668885231018066,1,0
482,lime,neutral,happy,mouth,0.11328125,0.3248617649078369,0.39942243695259094,0.5678717195987701,0,1
482,lime,neutral,happy,background,0.55126953125,0.33162426948547363,0.9949274063110352,-0.027633249759674072,1,0
482,shap,neutral,happy,eyes,0.130126953125,0.08231081068515778,0.9909630417823792,-0.023668885231018066,1,0
482,shap,neutral,happy,mouth,0.11328125,0.1753387451171875,0.39942243695259094,0.5678717195987701,0,1
482,shap,neutral,happy,background,0.55126953125,0.5258761048316956,0.9949274063110352,-0.027633249759674072,1,0
2378,gradcam,happy,happy,eyes,0.130126953125,0.2437000274658203,0.9244877099990845,0.03792303800582886,1,0
2378,gradcam,happy,happy,mouth,0.11328125,0.08945020288228989,0.9270203709602356,0.035390377044677734,1,0
2378,gradcam,happy,happy,background,0.55126953125,0.4890035092830658,0.9651269912719727,-0.002716243267059326,1,0
2378,lime,happy,happy,eyes,0.130126953125,0.1563621610403061,0.9244877099990845,0.03792303800582886,1,0
2378,lime,happy,happy,mouth,0.11328125,0.17027394473552704,0.9270203709602356,0.035390377044677734,1,0
2378,lime,happy,happy,background,0.55126953125,0.566123902797699,0.9651269912719727,-0.002716243267059326,1,0
2378,shap,happy,happy,eyes,0.130126953125,0.1890023797750473,0.9244877099990845,0.03792303800582886,1,0
2378,shap,happy,happy,mouth,0.11328125,0.061430398374795914,0.9270203709602356,0.035390377044677734,1,0
2378,shap,happy,happy,background,0.55126953125,0.5705510973930359,0.9651269912719727,-0.002716243267059326,1,0
2405,gradcam,happy,happy,eyes,0.130126953125,0.1179102286696434,0.9820786118507385,-0.001606583595275879,1,0
2405,gradcam,happy,happy,mouth,0.11328125,0.20547384023666382,0.290216326713562,0.6902557015419006,2,1
2405,gradcam,happy,happy,background,0.55126953125,0.3820952773094177,0.9872755408287048,-0.0068035125732421875,1,0
2405,lime,happy,happy,eyes,0.130126953125,0.02085496485233307,0.9820786118507385,-0.001606583595275879,1,0
2405,lime,happy,happy,mouth,0.11328125,0.5314733982086182,0.290216326713562,0.6902557015419006,2,1
2405,lime,happy,happy,background,0.55126953125,0.13551276922225952,0.9872755408287048,-0.0068035125732421875,1,0
2405,shap,happy,happy,eyes,0.130126953125,0.17261213064193726,0.9820786118507385,-0.001606583595275879,1,0
2405,shap,happy,happy,mouth,0.11328125,0.04956875741481781,0.290216326713562,0.6902557015419006,2,1
2405,shap,happy,happy,background,0.55126953125,0.6035016179084778,0.9872755408287048,-0.0068035125732421875,1,0
2447,gradcam,anger,disgust,eyes,0.130126953125,0.3137352764606476,0.17566679418087006,0.2062850445508957,1,1
2447,gradcam,anger,disgust,mouth,0.11328125,0.1298750936985016,0.1513882726430893,0.23056356608867645,1,1
