sample_idx,method,true_label_name,predicted_label_name,region,masked_fraction,attribution_mass,confidence_after_masking,confidence_drop,prediction_after_masking,prediction_changed
443,gradcam,sad,sad,eyes,0.130126953125,0.18091261386871338,0.6467551589012146,0.04550999402999878,2,0
443,gradcam,sad,sad,mouth,0.11328125,0.12662126123905182,0.705316960811615,-0.013051807880401611,2,0
443,gradcam,sad,sad,background,0.55126953125,0.36773496866226196,0.7547540068626404,-0.062488853931427,2,0
443,lime,sad,sad,eyes,0.130126953125,0.0347907729446888,0.6467551589012146,0.04550999402999878,2,0
443,lime,sad,sad,mouth,0.11328125,0.16868813335895538,0.705316960811615,-0.013051807880401611,2,0
443,lime,sad,sad,background,0.55126953125,0.0,0.7547540068626404,-0.062488853931427,2,0
443,shap,sad,sad,eyes,0.130126953125,0.09859512746334076,0.6467551589012146,0.04550999402999878,2,0
443,shap,sad,sad,mouth,0.11328125,0.06491062790155411,0.705316960811615,-0.013051807880401611,2,0
443,shap,sad,sad,background,0.55126953125,0.5478770136833191,0.7547540068626404,-0.062488853931427,2,0
461,gradcam,surprise,surprise,eyes,0.130126953125,0.19361643493175507,0.3949487805366516,-0.06245297193527222,3,0
461,gradcam,surprise,surprise,mouth,0.11328125,0.2242783159017563,0.10098979622125626,0.23150601238012314,0,1
461,gradcam,surprise,surprise,background,0.55126953125,0.26369544863700867,0.6167214512825012,-0.2842256426811218,3,0
461,lime,surprise,surprise,eyes,0.130126953125,0.22714342176914215,0.3949487805366516,-0.06245297193527222,3,0
461,lime,surprise,surprise,mouth,0.11328125,0.43378233909606934,0.10098979622125626,0.23150601238012314,0,1
461,lime,surprise,surprise,background,0.55126953125,0.0,0.6167214512825012,-0.2842256426811218,3,0
461,shap,surprise,surprise,eyes,0.130126953125,0.1587020307779312,0.3949487805366516,-0.06245297193527222,3,0
461,shap,surprise,surprise,mouth,0.11328125,0.18062864243984222,0.10098979622125626,0.23150601238012314,0,1
461,shap,surprise,surprise,background,0.55126953125,0.4118722081184387,0.6167214512825012,-0.2842256426811218,3,0
482,gradcam,neutral,happy,eyes,0.130126953125,0.038261186331510544,0.9909630417823792,-0.023668885231018066,1,0
482,gradcam,neutral,happy,mouth,0.11328125,0.05020148679614067,0.39942243695259094,0.5678717195987701,0,1
482,gradcam,neutral,happy,background,0.55126953125,0.5752673149108887,0.9949274063110352,-0.027633249759674072,1,0
482,lime,neutral,happy,eyes,0.130126953125,0.2718784511089325,0.9909630417823792,-0.023668885231018066,1,0
482,lime,neutral,happy,mouth,0.11328125,0.49286454916000366,0.39942243695259094,0.5678717195987701,0,1
482,lime,neutral,happy,background,0.55126953125,0.0,0.9949274063110352,-0.027633249759674072,1,0
482,shap,neutral,happy,eyes,0.130126953125,0.13584297895431519,0.9909630417823792,-0.023668885231018066,1,0
482,shap,neutral,happy,mouth,0.11328125,0.31934019923210144,0.39942243695259094,0.5678717195987701,0,1
482,shap,neutral,happy,background,0.55126953125,0.40543803572654724,0.9949274063110352,-0.027633249759674072,1,0
2378,gradcam,happy,happy,eyes,0.130126953125,0.2437000274658203,0.9244877099990845,0.03792303800582886,1,0
2378,gradcam,happy,happy,mouth,0.11328125,0.08945020288228989,0.9270203709602356,0.035390377044677734,1,0
2378,gradcam,happy,happy,background,0.55126953125,0.4890035092830658,0.9651269912719727,-0.002716243267059326,1,0
2378,lime,happy,happy,eyes,0.130126953125,0.11765708029270172,0.9244877099990845,0.03792303800582886,1,0
2378,lime,happy,happy,mouth,0.11328125,0.031629737466573715,0.9270203709602356,0.035390377044677734,1,0
2378,lime,happy,happy,background,0.55126953125,0.8355770111083984,0.9651269912719727,-0.002716243267059326,1,0
2378,shap,happy,happy,eyes,0.130126953125,0.13574279844760895,0.9244877099990845,0.03792303800582886,1,0
2378,shap,happy,happy,mouth,0.11328125,0.11350910365581512,0.9270203709602356,0.035390377044677734,1,0
2378,shap,happy,happy,background,0.55126953125,0.6234327554702759,0.9651269912719727,-0.002716243267059326,1,0
2405,gradcam,happy,happy,eyes,0.130126953125,0.1179102286696434,0.9820786118507385,-0.001606583595275879,1,0
2405,gradcam,happy,happy,mouth,0.11328125,0.20547384023666382,0.290216326713562,0.6902557015419006,2,1
2405,gradcam,happy,happy,background,0.55126953125,0.3820952773094177,0.9872755408287048,-0.0068035125732421875,1,0
2405,lime,happy,happy,eyes,0.130126953125,0.023609165102243423,0.9820786118507385,-0.001606583595275879,1,0
2405,lime,happy,happy,mouth,0.11328125,0.773084282875061,0.290216326713562,0.6902557015419006,2,1
2405,lime,happy,happy,background,0.55126953125,0.0,0.9872755408287048,-0.0068035125732421875,1,0
2405,shap,happy,happy,eyes,0.130126953125,0.08065567165613174,0.9820786118507385,-0.001606583595275879,1,0
2405,shap,happy,happy,mouth,0.11328125,0.46952876448631287,0.290216326713562,0.6902557015419006,2,1
2405,shap,happy,happy,background,0.55126953125,0.20096315443515778,0.9872755408287048,-0.0068035125732421875,1,0
2447,gradcam,anger,disgust,eyes,0.130126953125,0.3137352764606476,0.17566679418087006,0.2062850445508957,1,1
2447,gradcam,anger,disgust,mouth,0.11328125,0.1298750936985016,0.1513882726430893,0.23056356608867645,1,1
