sample_idx,method,true_label,true_label_name,predicted_label,predicted_label_name,predicted_confidence,deletion_auc,insertion_auc,robustness_pearson_mean,robustness_rank_corr_mean,robustness_topk_iou_mean,correct
443,gradcam,2,sad,2,sad,0.692254900932312,0.601269206404686,0.5991829812526703,0.8530169810498259,0.8263325417715726,0.5969616977225674,1
443,lime,2,sad,2,sad,0.692254900932312,0.4546318888664246,0.7286968171596527,0.904719985039252,0.7970308088063014,0.75229734981706,1
443,shap,2,sad,2,sad,0.692254900932312,0.6760372161865235,0.6064714223146439,-0.03230536236481284,0.07126707099988372,0.23897617478735805,1
461,gradcam,3,surprise,3,surprise,0.3326646387577057,0.39285712689161306,0.1813841752707958,0.7253536425204865,0.7349856946669717,0.5021765796392661,1
461,lime,3,surprise,3,surprise,0.3326646387577057,0.09496073983609676,0.5990171119570733,0.9093160504464051,0.7462980394588492,0.6300470751408638,1
461,shap,3,surprise,3,surprise,0.3326646387577057,0.19256007671356204,0.34136661663651463,0.3803123711267904,0.23574568905315968,0.43041797523319286,1
482,gradcam,0,neutral,1,happy,0.9672909379005432,0.7483758568763733,0.8828534781932831,0.9639819606892195,0.9437102311741817,0.7330841404358353,0
482,lime,0,neutral,1,happy,0.9672909379005432,0.42570325136184695,0.958423286676407,0.779931635330458,0.7904099729602597,0.6407236555205984,0
482,shap,0,neutral,1,happy,0.9672909379005432,0.6390095084905625,0.910068815946579,-0.8449216622738025,-0.7045004135259967,0.0,0
2378,gradcam,1,happy,1,happy,0.9624287486076355,0.7816234230995178,0.9606894075870513,0.9088251416344708,0.9050200274662394,0.6510775351917604,1
2378,lime,1,happy,1,happy,0.9624287486076355,0.4360933400690555,0.9673304855823517,0.8879498828792187,0.924179391593715,0.6601459328488737,1
2378,shap,1,happy,1,happy,0.9624287486076355,0.9330869674682617,0.7828335583209992,0.6333297808908436,0.537901564862518,0.863526443944374,1
2405,gradcam,1,happy,1,happy,0.9804738759994507,0.6233078166842461,0.8459088534116744,0.9152648108809206,0.8885673208972305,0.6763068104933335,1
2405,lime,1,happy,1,happy,0.9804738759994507,0.20087007880210875,0.9467443943023682,0.9863606671150151,0.9011385658367214,0.7321383263949267,1
2405,shap,1,happy,1,happy,0.9804738759994507,0.7950584918260576,0.5676872432231903,0.4817762434262738,0.3998228076516846,0.39879701254804356,1
2447,gradcam,6,anger,5,disgust,0.3819591999053955,0.2051320467144251,0.4444646134972573,0.8453061154095005,0.806366445410849,0.5607276119402985,0
2447,lime,6,anger,5,disgust,0.3819591999053955,0.05329516334459186,0.5413790971040726,0.9453434100786999,0.8022876193568391,0.9571257814283223,0
2447,shap,6,anger,5,disgust,0.3819591999053955,0.33634477406740193,0.1617139499634504,-0.0705881942174506,0.23876825025180987,0.22078720770082794,0
2735,gradcam,3,surprise,3,surprise,0.9318251609802246,0.8802922278642654,0.38337815403938286,0.9305935491511013,0.8756124113069352,0.7301765565664693,1
2735,lime,3,surprise,3,surprise,0.9318251609802246,0.36131073236465455,0.918196165561676,0.9832943059040202,0.8655866474133681,0.9207422141546223,1
2735,shap,3,surprise,3,surprise,0.9318251609802246,0.6038896143436433,0.7633566170930862,0.1208771163174838,0.2836438440352187,0.32713035377514404,1
2796,gradcam,5,disgust,5,disgust,0.6172104477882385,0.2697228798642755,0.2505162417888641,0.9501953539572036,0.8667090581368735,0.748699558987777,1
2796,lime,5,disgust,5,disgust,0.6172104477882385,0.12536203227937223,0.6535106621682645,0.8447875976974693,0.795340822908216,0.7292356355728845,1
2796,shap,5,disgust,5,disgust,0.6172104477882385,0.3255814500153064,0.29877740554511545,-0.11231902034571975,0.07645979301649215,0.13593029215786775,1
3652,gradcam,2,sad,2,sad,0.40384140610694885,0.4678631484508514,0.42196697592735294,0.8533977938602421,0.7680325875486382,0.6099059561128526,1
3652,lime,2,sad,2,sad,0.40384140610694885,0.34101484566926954,0.5668853998184205,0.6743442555536213,0.5149207027078913,0.25528902286457583,1
3652,shap,2,sad,2,sad,0.40384140610694885,0.5724342346191407,0.39056270420551303,0.22847666247273804,0.34569612113407067,0.13593029215786775,1
4015,gradcam,4,fear,6,anger,0.37335896492004395,0.2397048369050026,0.31344207674264907,0.9516521816717418,0.9385980773632412,0.7553837465674087,0
4015,lime,4,fear,6,anger,0.37335896492004395,0.09215784855186938,0.485376688838005,0.9551791909063228,0.8582325846831015,0.7210983115672003,0
4015,shap,4,fear,6,anger,0.37335896492004395,0.3036929279565812,0.20229331403970713,0.1296627584086385,0.1641907406546355,0.5208812296129217,0
4161,gradcam,4,fear,5,disgust,0.8548717498779297,0.4577785409986973,0.6935997247695923,0.9407718341782292,0.83482218471046,0.6964257911680447,0
4161,lime,4,fear,5,disgust,0.8548717498779297,0.1611114447936416,0.7676933884620667,0.8816922711418155,0.7146664590404488,0.7306517402164519,0
4161,shap,4,fear,5,disgust,0.8548717498779297,0.4497742459177971,0.6095265775918961,0.46452370835962825,0.2808248559357331,0.23704730311361977,0
4178,gradcam,5,disgust,5,disgust,0.8119988441467285,0.29588242843747137,0.7698306411504746,0.9562865170039837,0.9029411764705882,0.7654300127876675,1
4178,lime,5,disgust,5,disgust,0.8119988441467285,0.1392395082861185,0.8585615694522858,0.9600345808062547,0.9521336209139365,0.9102215525290915,1
4178,shap,5,disgust,5,disgust,0.8119988441467285,0.7201478265225887,0.36040309071540827,0.09318503343042017,0.012199054705676959,0.19081693500298152,1
4235,gradcam,0,neutral,3,surprise,0.28605395555496216,0.03970394656062126,0.15249369516968728,0.8303253134618025,0.8100706683451591,0.5437296213176495,0
4235,lime,0,neutral,3,surprise,0.28605395555496216,0.027632190380245447,0.3432550117373466,0.9744329086314103,0.6634234747605502,0.5266638116534603,0
4235,shap,0,neutral,3,surprise,0.28605395555496216,0.27825690805912023,0.03143229288980365,-0.2217436772454171,-0.14972046657481314,0.18665714755189988,0
